period,base_currency,target_currency,exchange_rate,frequency,rate_type,source
2023-08,EUR,GBP,0.8589208695652,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-08,EUR,INR,90.3517565217391,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-08,EUR,JPY,157.9621739130435,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-08,EUR,USD,1.0908869565217,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-09,EUR,GBP,0.8615842857143,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-09,EUR,INR,88.7372095238095,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-09,EUR,JPY,157.7952380952381,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-09,EUR,USD,1.068380952381,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-10,EUR,GBP,0.8679836363636,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-10,EUR,INR,87.8937181818182,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-10,EUR,JPY,158.0377272727273,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-10,EUR,USD,1.0562545454545,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-11,EUR,GBP,0.8704540909091,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-11,EUR,INR,90.0102,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-11,EUR,JPY,161.8440909090909,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-11,EUR,USD,1.0808227272727,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-12,EUR,GBP,0.8616826315789,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-12,EUR,INR,90.8009368421053,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-12,EUR,JPY,157.2126315789474,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2023-12,EUR,USD,1.0903052631579,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-01,EUR,GBP,0.8587309090909,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-01,EUR,INR,90.6347454545454,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-01,EUR,JPY,159.4581818181818,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-01,EUR,USD,1.0905136363636,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-02,EUR,GBP,0.8546623809524,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-02,EUR,INR,89.560819047619,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-02,EUR,JPY,161.3771428571428,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-02,EUR,USD,1.0794714285714,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-03,EUR,GBP,0.8552375,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-03,EUR,INR,90.251545,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-03,EUR,JPY,162.7725,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-03,EUR,USD,1.08722,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-04,EUR,GBP,0.8565766666667,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-04,EUR,INR,89.4675857142857,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-04,EUR,JPY,165.0295238095238,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-04,EUR,USD,1.0727761904762,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-05,EUR,GBP,0.8556404545455,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-05,EUR,INR,90.1572681818182,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-05,EUR,JPY,168.5363636363636,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-05,EUR,USD,1.0812227272727,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-06,EUR,GBP,0.8464315,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-06,EUR,INR,89.81055,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-06,EUR,JPY,169.813,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
2024-06,EUR,USD,1.0759,Monthly,Foreign Exchange Reference Rate (Spot Average),European Central Bank (ECB)
