amfi_code,scheme_name,category,fund_house,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,cagr_3yr,expense_ratio_pct,composite_score,composite_rank,tracking_error_nifty100,tracking_error_nifty50
149323,DSP Midcap Fund - Regular - Growth,Equity,DSP Mutual Fund,1.1321,1.6701,0.2008,-0.0025,-0.1725,26.87,1.61,72.87,12,0.2195,0.2189
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,Nippon India MF,1.0817,1.612,0.1528,-0.0084,-0.1741,22.65,1.51,72.87,12,0.1921,0.1881
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,SBI Mutual Fund,0.9533,1.4196,0.132,-0.0262,-0.118,16.27,0.66,71.83,14,0.1921,0.1914
118635,Nippon India ETF Nifty 50 BeES,Equity,Nippon India MF,0.6649,0.9766,0.0863,-0.0014,-0.1165,20.01,0.89,62.09,15,0.1831,0.184
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,HDFC Mutual Fund,0.7758,1.1488,0.1155,0.0488,-0.152,18.43,0.92,61.74,16,0.1911,0.1956
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,Nippon India MF,0.6452,0.9676,0.0891,-0.0366,-0.1863,21.09,0.72,61.74,16,0.1934,0.189
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,UTI Mutual Fund,0.8171,1.2137,0.1042,-0.0195,-0.1086,19.67,1.57,56.52,18,0.1837,0.1819
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Mirae Asset MF,0.9263,1.3809,0.142,-0.0264,-0.1527,14.75,1.52,54.61,19,0.2032,0.2009
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,ICICI Prudential MF,0.798,1.1765,0.1094,-0.0403,-0.139,13.98,1.42,53.91,20,0.1929,0.1897
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,ICICI Prudential MF,0.6489,0.9517,0.1003,0.0419,-0.1983,18.42,1.41,51.13,21,0.196,0.1954
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,ICICI Prudential MF,0.4957,0.7187,0.0024,-0.0004,-0.001,7.39,0.74,46.78,22,0.129,0.1289
119093,Axis Bluechip Fund - Direct - Growth,Equity,Axis Mutual Fund,0.1296,0.1844,0.019,0.0259,-0.2175,20.82,0.75,46.26,23,0.1879,0.1908
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,UTI Mutual Fund,0.6195,0.9195,0.0982,0.0167,-0.2154,25.56,1.64,44.52,24,0.2022,0.2002
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,DSP Mutual Fund,0.464,0.6694,0.0665,-0.0041,-0.1484,18.04,1.54,40.35,25,0.1933,0.1915
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,HDFC Mutual Fund,0.3006,0.4298,0.0555,0.0091,-0.2112,11.25,0.78,38.61,26,0.2236,0.2255
120844,Kotak Liquid Fund - Regular - Growth,Debt,Kotak Mahindra MF,-0.0887,-0.125,-0.0005,-0.0004,-0.0012,6.7,0.6,37.22,27,0.129,0.1288
120841,Kotak Bluechip Fund - Regular - Growth,Equity,Kotak Mahindra MF,0.4943,0.7198,0.0678,0.0364,-0.1757,17.27,1.59,35.48,28,0.1831,0.1825
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,Nippon India MF,0.4484,0.647,0.1167,0.1035,-0.2334,8.01,1.53,34.96,29,0.2773,0.2828
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Nippon India MF,-0.3566,-0.4971,-0.0142,0.0013,-0.0832,4.06,0.55,27.48,30,0.1348,0.1357
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,SBI Mutual Fund,-0.2266,-0.3182,-0.0092,-0.0064,-0.0433,5.84,0.77,26.96,31,0.1356,0.1332
101208,ABSL Liquid Fund - Regular - Growth,Debt,Aditya Birla Sun Life MF,-0.8156,-1.102,-0.0041,0.0003,-0.0016,6.32,0.79,25.74,32,0.129,0.1286
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,HDFC Mutual Fund,-0.5671,-0.7815,-0.0221,0.0012,-0.0431,3.92,0.56,24.35,33,0.1345,0.1364
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,Kotak Mahindra MF,0.076,0.107,0.0142,0.0181,-0.24,7.76,1.56,18.43,34,0.2192,0.2204
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,SBI Mutual Fund,-0.0572,-0.0803,-0.0121,0.062,-0.5257,-1.34,0.72,14.26,35,0.2771,0.2803
119092,Axis Bluechip Fund - Regular - Growth,Equity,Axis Mutual Fund,0.0308,0.0439,0.0046,0.0097,-0.144,0.53,1.64,11.65,36,0.1891,0.1915
101207,ABSL Small Cap Fund - Regular - Growth,Equity,Aditya Birla Sun Life MF,0.1627,0.2332,0.0397,-0.0653,-0.3545,-4.15,1.53,10.96,37,0.2921,0.2917
119095,Axis Small Cap Fund - Regular - Growth,Equity,Axis Mutual Fund,-0.076,-0.1076,-0.0213,-0.067,-0.5168,-11.71,1.38,4.52,38,0.2858,0.281
102886,UTI Mid Cap Fund - Regular - Growth,Equity,UTI Mutual Fund,-0.2058,-0.2868,-0.0388,-0.0421,-0.28,-0.77,1.51,0.17,39,0.2256,0.2269
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,HDFC Mutual Fund,-0.2015,-0.2869,-0.0313,-0.0583,-0.2473,1.29,1.55,0.0,40,0.1993,0.1964
