amfi_code,var_95,cvar_95,sharpe_ratio,sortino_ratio,risk_grade,scheme_name,category,fund_house,alpha,beta,max_drawdown_pct,return_1yr_pct,return_3yr_pct,aum_crore,max_drawdown,cagr_available,var_rank
102887,-0.015232,-0.019411,0.6195,0.9195,Moderate,UTI Flexi Cap Fund - Regular - Growth,Equity,UTI Mutual Fund,1.79,1.0,-12.14,17.43,15.34,17912,-0.12140000000000001,15.34,26
148569,-0.017118,-0.021328,1.2349,1.8752,High,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,Mirae Asset MF,0.54,0.98,-22.62,11.16,13.58,2989,-0.2262,13.58,27
149323,-0.017882,-0.022607,1.1321,1.6701,High,DSP Midcap Fund - Regular - Growth,Equity,DSP Mutual Fund,1.02,0.98,-26.99,14.12,17.16,37835,-0.2699,17.16,28
120842,-0.018219,-0.022725,0.076,0.107,Low,Kotak Emerging Equity Fund - Regular - Growth,Equity,Kotak Mahindra MF,1.91,1.0,-21.92,17.12,18.23,47469,-0.2192,18.23,29
125498,-0.018365,-0.023094,0.3006,0.4298,Low,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,HDFC Mutual Fund,0.9,1.04,-32.22,19.98,15.29,18792,-0.3222,15.29,30
119094,-0.01848,-0.02426,0.9982,1.5043,Moderate,Axis Midcap Fund - Regular - Growth,Equity,Axis Mutual Fund,1.42,1.0,-32.38,14.88,15.18,28996,-0.32380000000000003,15.18,31
120505,-0.018892,-0.024342,1.1801,1.7834,High,ICICI Pru Midcap Fund - Regular - Growth,Equity,ICICI Prudential MF,0.89,1.0,-21.84,14.02,18.08,979,-0.2184,18.08,32
100033,-0.019034,-0.023456,1.0937,1.6321,High,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,HDFC Mutual Fund,0.95,0.91,-13.67,15.43,16.58,23185,-0.1367,16.58,33
102886,-0.01922,-0.023251,-0.2058,-0.2868,Low,UTI Mid Cap Fund - Regular - Growth,Equity,UTI Mutual Fund,1.12,0.92,-13.43,16.3,15.61,41728,-0.1343,15.61,34
149324,-0.023483,-0.031036,0.9498,1.4206,Moderate,DSP Small Cap Fund - Regular - Growth,Equity,DSP Mutual Fund,0.69,0.98,-17.01,20.2,20.08,35124,-0.17010000000000003,20.08,35
119598,-0.024507,-0.030595,0.9453,1.418,Moderate,SBI Small Cap Fund - Regular Plan - Growth,Equity,SBI Mutual Fund,1.23,0.89,-13.35,24.56,23.39,19259,-0.1335,23.39,36
118634,-0.025438,-0.032304,0.4484,0.647,Low,Nippon India Small Cap Fund - Regular - Growth,Equity,Nippon India MF,0.8,1.03,-30.87,21.3,20.15,43630,-0.30870000000000003,20.15,37
101207,-0.026021,-0.032459,0.1627,0.2332,Low,ABSL Small Cap Fund - Regular - Growth,Equity,Aditya Birla Sun Life MF,1.84,0.97,-23.61,24.93,22.38,41613,-0.2361,22.38,38
119095,-0.026188,-0.031667,-0.076,-0.1076,Low,Axis Small Cap Fund - Regular - Growth,Equity,Axis Mutual Fund,0.51,1.0,-14.45,21.97,20.98,21545,-0.1445,20.98,39
119599,-0.026859,-0.032384,-0.0572,-0.0803,Low,SBI Small Cap Fund - Direct Plan - Growth,Equity,SBI Mutual Fund,1.13,1.04,-24.78,20.59,23.14,36061,-0.24780000000000002,23.14,40
